Mã,Sàn,Ngành ICB - cấp 2,Năm,Lợi nhuận sau thuế thu nhập doanh nghiệp,TỔNG CỘNG TÀI SẢN,GTCL tài sản cố định vô hình,NỢ PHẢI TRẢ,VỐN CHỦ SỞ HỮU,price,marketcap,avg20_volume,Slcp,eps,pe,bvps,pb,roe
CCI,HOSE,"Điện, nước & xăng dầu khí đốt",2024.0,32.827950428,794.8161907040001,5.725553155,522.248001372,272.56818933200003,25200.0,442035.7,10.229411764705882,17541099.206349205,1871.4876440649477,13.465223818023489,15212.423864543982,1.6565407475093,0.12043940457048022
CCL,HOSE,Bất động sản,2024.0,42.364525565,1131.6084399390002,2.3478788440000002,407.625140702,723.9832992370001,9010.0,536828.4,566.765,59581398.44617092,711.0361063994566,12.67164904694478,12111.757011627798,0.7439052807408553,0.05851588787980001
CDC,HOSE,Xây dựng và Vật liệu,2024.0,28.715511917,2148.055340975,0.0,1760.7864923910001,387.268848584,17050.0,374907.4,116.725,21988703.812316716,1305.9210839392608,13.055919082468083,17612.172681460004,0.9680804468802539,0.0741487780956167
CHP,HOSE,"Điện, nước & xăng dầu khí đốt",2024.0,313.76237504,2696.242362197,0.254570083,708.3512416130001,1987.8911205840002,33700.0,4950955.0,25.825,146912611.27596438,2135.707563257594,15.779313881624038,13529.380039181067,2.490875406146094,0.1578368009148425
CIG,HOSE,Xây dựng và Vật liệu,2024.0,64.399096086,1033.6639664680001,0.0,819.304474895,214.359491573,8150.0,257050.5,568.51,31539938.65030675,2041.8269293422886,3.991523416054303,6796.446053674087,1.1991561377279227,0.30042568030662137
CII,HOSE,Xây dựng và Vật liệu,2024.0,638.8040240150001,36697.324668789,15883.216608796001,27550.184216941,9147.140451848001,13950.0,4460546.0,2082.4699999999993,319752401.43369174,1997.8083703226582,6.982651693338831,-21066.53812995643,-0.6621875845924217,0.06983647265260284
CKG,HOSE,Bất động sản,2024.0,126.25039085200001,5034.912626009001,11.548867791000001,3558.7448106,1476.167815409,22600.0,2152862.0,16.985000000000003,95259380.53097345,1325.3328979076227,17.052319485677813,15375.062691508707,1.4699127056230776,0.08552577121255009
CLC,HOSE,Hàng cá nhân & Gia dụng,2024.0,150.229088842,1955.2758236030002,3.6229452500000003,1045.472119467,909.8037041360001,52000.0,1362793.0,8.195,26207557.692307692,5732.281145987688,9.071432240618103,34577.07770884647,1.503886489131958,0.16512252935336844
CLL,HOSE,Hàng & Dịch vụ Công nghiệp,2024.0,99.350352899,681.5928220970001,74.98325700800001,57.776795611000004,623.816026486,35800.0,1217199.0,5.955,33999972.06703911,2922.071603562112,12.251582047598864,16142.153540474812,2.2177957798651295,0.15926226432278054
CLW,HOSE,"Điện, nước & xăng dầu khí đốt",2024.0,53.446789975,569.4147302810001,1.5975421250000001,314.247045909,255.16768437200002,42350.0,550549.9,,12999997.638724912,4111.292283299388,10.300897402024003,19505.399100354847,2.1711937183192296,0.20945751851978953
CMG,HOSE,Công nghệ Thông tin,2024.0,384.30186475000005,7719.734866866001,407.57925581300003,4134.017543403001,3585.7173234630004,49250.0,9377073.0,2531.575,190397421.31979695,2018.4194832372002,24.400279728280967,16692.12768544753,2.950492647077997,0.10717572805735016
CMV,HOSE,Bán lẻ,2024.0,9.635176256000001,501.78728465200004,35.1756425,256.052850203,245.73443444900002,8500.0,154324.8,1.0571428571428572,18155858.82352941,530.692397955481,16.016811306788405,11597.29176105526,0.7329297369704674,0.039209711400864725
