ts_utc,ts_local,ticker,price,signal,method
2025-09-18T09:24:34.240032+00:00,2025-09-03 09:15:00,STB,55700,-1,Wyckoff+VSA+RSI
2025-09-18T09:24:34.240032+00:00,2025-09-04 09:30:00,STB,56400,-1,Wyckoff+VSA+RSI
2025-09-18T09:24:34.240772+00:00,2025-09-05 10:30:00,STB,56800,-1,Wyckoff+VSA+RSI
2025-09-18T09:24:34.240772+00:00,2025-09-05 13:45:00,STB,55900,1,Wyckoff+VSA+RSI
2025-09-18T09:24:34.241839+00:00,2025-09-05 14:00:00,STB,55800,1,Wyckoff+VSA+RSI
2025-09-18T09:24:34.241839+00:00,2025-09-05 14:15:00,STB,55300,1,Wyckoff+VSA+RSI
2025-09-18T09:24:34.241839+00:00,2025-09-08 14:15:00,STB,54100,1,Wyckoff+VSA+RSI
2025-09-18T09:24:34.242842+00:00,2025-09-09 09:15:00,STB,53500,1,Wyckoff+VSA+RSI
2025-09-18T09:24:34.242842+00:00,2025-09-10 09:15:00,STB,54400,-1,Wyckoff+VSA+RSI
2025-09-18T09:24:34.243835+00:00,2025-09-10 09:30:00,STB,54600,-1,Wyckoff+VSA+RSI
2025-09-18T09:24:34.243835+00:00,2025-09-10 09:45:00,STB,54800,-1,Wyckoff+VSA+RSI
2025-09-18T09:24:34.243835+00:00,2025-09-11 09:45:00,STB,53200,1,Wyckoff+VSA+RSI
2025-09-18T09:24:34.243835+00:00,2025-09-11 10:15:00,STB,53100,1,Wyckoff+VSA+RSI
2025-09-18T09:24:34.245061+00:00,2025-09-12 09:45:00,STB,55600,-1,Wyckoff+VSA+RSI
2025-09-18T09:24:34.245061+00:00,2025-09-12 10:15:00,STB,55600,-1,Wyckoff+VSA+RSI
2025-09-18T09:24:34.245061+00:00,2025-09-12 10:30:00,STB,55700,-1,Wyckoff+VSA+RSI
2025-09-18T09:24:34.246235+00:00,2025-09-15 13:00:00,STB,55000,1,Wyckoff+VSA+RSI
2025-09-18T09:24:34.246235+00:00,2025-09-15 13:30:00,STB,54900,1,Wyckoff+VSA+RSI
2025-09-18T09:24:34.246235+00:00,2025-09-15 13:45:00,STB,55000,1,Wyckoff+VSA+RSI
2025-09-18T09:24:34.246235+00:00,2025-09-16 10:30:00,STB,56300,-1,Wyckoff+VSA+RSI
2025-09-18T09:24:34.247392+00:00,2025-09-16 11:15:00,STB,56200,-1,Wyckoff+VSA+RSI
2025-09-18T09:24:34.247392+00:00,2025-09-16 13:15:00,STB,56300,-1,Wyckoff+VSA+RSI
2025-09-18T09:24:34.247392+00:00,2025-09-18 11:15:00,STB,57000,-1,Wyckoff+VSA+RSI
2025-09-18T09:24:34.909009+00:00,2025-08-26 09:15:00,TPB,19900,1,Wyckoff+VSA+RSI
2025-09-18T09:24:34.910022+00:00,2025-08-26 09:45:00,TPB,20050,1,Wyckoff+VSA+RSI
2025-09-18T09:24:34.911030+00:00,2025-08-27 09:15:00,TPB,21350,-1,Wyckoff+VSA+RSI
2025-09-18T09:24:34.911030+00:00,2025-08-27 09:30:00,TPB,21300,-1,Wyckoff+VSA+RSI
2025-09-18T09:24:34.911030+00:00,2025-08-27 09:45:00,TPB,21000,-1,Wyckoff+VSA+RSI
2025-09-18T09:24:34.912449+00:00,2025-08-27 10:15:00,TPB,20700,-1,Wyckoff+VSA+RSI
2025-09-18T09:24:34.912449+00:00,2025-08-27 10:30:00,TPB,20750,-1,Wyckoff+VSA+RSI
2025-09-18T09:24:34.914047+00:00,2025-08-27 14:15:00,TPB,20100,1,Wyckoff+VSA+RSI
2025-09-18T09:24:34.915181+00:00,2025-08-28 13:45:00,TPB,20750,-1,Wyckoff+VSA+RSI
2025-09-18T09:24:34.916225+00:00,2025-08-29 09:45:00,TPB,20800,-1,Wyckoff+VSA+RSI
