ticker,timestamp,open,high,low,close,volume,bu,sd,label,hit_time,hit_type,ub,lb,vbar_end
NAB,2021-03-25,5188.8469248,5224.1452032,5118.250368,5172.96269952,59351.0,38000.0,21100.0,-1,1970-01-01 00:00:00.000010794,sl,5318.882230388939,5100.00293408553,
NAB,2021-03-26,5118.250368,5153.5486464,4977.0572544,5073.774537216,82289.0,28500.0,51100.0,1,1970-01-01 00:00:00.000010797,tp,5224.993219691955,4998.165195978022,
NAB,2021-03-29,5082.9520896,5224.1452032,5082.9520896,5175.433579008,51137.0,13800.0,34800.0,1,1970-01-01 00:00:00.000010798,tp,5329.175779301639,5098.562478861181,
NAB,2021-03-30,5224.1452032,5224.1452032,5118.250368,5171.550768384,175351.0,77100.0,88600.0,1,1970-01-01 00:00:00.000010798,tp,5321.843456379355,5096.404424386322,
NAB,2021-03-31,5224.1452032,5294.74176,5224.1452032,5252.736808704,67810.0,36000.0,27100.0,1,1970-01-01 00:00:00.000010799,tp,5408.715389880614,5174.747518115694,
NAB,2021-04-01,5259.4434816,5330.0400384,5224.1452032,5267.209102848,172772.0,73900.0,71500.0,1,1970-01-01 00:00:00.000010799,tp,5423.531946022805,5189.0476812605975,
NAB,2021-04-02,5330.0400384,5647.724544,5330.0400384,5494.530015744,741012.0,588300.0,120700.0,1,1970-01-01 00:00:00.000010800,tp,5685.548439281834,5399.020803975082,
NAB,2021-04-05,5577.1279872,5824.215936,5577.1279872,5728.91058432,721070.0,235200.0,334937.0,0,1970-01-01 00:00:00.000010802,both,5950.246286007167,5618.242733476417,
NAB,2021-04-06,5753.6193792,5788.9176576,5683.0228224,5723.61584256,2846873.0,136900.0,111600.0,0,1970-01-01 00:00:00.000010802,both,5940.644075953185,5615.101725863407,
NAB,2021-04-07,5718.3211008,6106.6021632,5612.4262656,5773.386415104,775199.0,517400.0,171700.0,1,1970-01-01 00:00:00.000010803,tp,5986.275724407238,5666.941760452381,
NAB,2021-04-08,5930.1107712,6353.690112,5930.1107712,6072.715815936,391403.0,188100.0,187100.0,-1,1970-01-01 00:00:00.000010804,sl,6331.020562932317,5943.56344243784,
NAB,2021-04-09,6177.19872,6177.19872,5930.1107712,6006.708035328,265113.0,72700.0,159300.0,1,1970-01-01 00:00:00.000010805,tp,6258.882439780275,5880.620833101862,
NAB,2021-04-12,6071.3038848,6530.181504,6000.707328,6374.516096256,959679.0,687800.0,239700.0,-1,1970-01-01 00:00:00.000010806,sl,6682.84812850596,6220.350080131021,
NAB,2021-04-13,6353.690112,6600.7780608,6177.19872,6396.401028864,801581.0,145800.0,444900.0,-1,1970-01-01 00:00:00.000010807,sl,6705.260653390685,6241.9712166006575,
NAB,2021-04-14,6353.690112,6388.9883904,6177.19872,6308.508315648,278442.0,189899.0,88543.0,-1,1970-01-01 00:00:00.000010808,sl,6619.017413716048,6153.253766613975,
NAB,2021-04-15,6318.3918336,6353.690112,6141.9004416,6202.966463232,296400.0,91700.0,195500.0,-1,1970-01-01 00:00:00.000010809,sl,6514.637981332515,6047.130704181743,
NAB,2021-04-16,6283.0935552,6283.0935552,5824.215936,6006.355052544,401908.0,163900.0,211700.0,-1,1970-01-01 00:00:00.000010810,sl,6321.846011110654,5848.609573260672,
NAB,2021-04-19,6036.0056064,6106.6021632,5788.9176576,5952.348686592,193834.0,129900.0,63500.0,-1,1970-01-01 00:00:00.000010812,sl,6265.66749621468,5795.68928178066,
NAB,2021-04-20,6071.3038848,6071.3038848,5894.8124928,5965.4090496,172148.0,46000.0,113200.0,-1,1970-01-01 00:00:00.000010812,sl,6275.9356439350095,5810.145752432495,
NAB,2021-04-22,6212.4969984,6212.4969984,5647.724544,5782.916950272,439618.0,142500.0,269900.0,-1,1970-01-01 00:00:00.000010813,sl,6087.606969157379,5630.57194082931,
NAB,2021-04-23,5718.3211008,5894.8124928,5541.8297088,5717.968118016,229476.0,101900.0,118700.0,1,1970-01-01 00:00:00.000010822,tp,6021.651068893095,5566.126642577452,
NAB,2021-04-26,5859.5142144,5859.5142144,5718.3211008,5782.210984704,185410.0,46100.0,116200.0,1,1970-01-01 00:00:00.000010823,tp,6082.197787324502,5632.217583393749,
NAB,2021-04-27,5824.215936,5859.5142144,5718.3211008,5814.332418048,395139.0,56403.0,66100.0,-1,1970-01-01 00:00:00.000010818,sl,6113.83002317561,5664.583615484195,
NAB,2021-04-28,5824.215936,5894.8124928,5788.9176576,5857.74930048,1977615.0,61071.0,63544.0,-1,1970-01-01 00:00:00.000010818,sl,6158.893773567748,5707.177063936126,
NAB,2021-04-29,5859.5142144,5965.4090496,5859.5142144,5917.403390976,267643.0,151800.0,111800.0,-1,1970-01-01 00:00:00.000010818,sl,6220.741910462292,5765.734131232854,
